Company,Ticker,Market Cap,Price
FASTENAL COMPANY,FAST,30210,52.60
"AUTOZONE, INC.",AZO,30099,1392.20
EQUITY RESIDENTIAL REIT,EQR,29920,79.51
CBRE GROUP INC,CBRE,29806,88.80
FIFTH THIRD BANCORP,FITB,29714,42.21
"AVALONBAY COMMUNITIES, INC. REIT",AVB,29701,213.10
RESMED INC.,RMD,29675,203.93
ARTHUR J. GALLAGHER & CO.,AJG,29623,144.58
"WEC ENERGY GROUP, INC.",WEC,29597,93.83
"DELTA AIR LINES, INC.",DAL,29507,46.13
"COPART, INC.",CPRT,29246,123.62
"METTLER-TOLEDO INTERNATIONAL, INC.",MTD,29210,1255.28
KROGER COMPANY (THE),KR,29141,38.49
LENNAR CORPORATION,LEN,29014,94.97
SYNCHRONY FINANCIAL,SYF,28993,49.85
"BEST BUY CO., INC.",BBY,28936,115.56
"ANSYS, INC.",ANSS,28699,329.30
"TYSON FOODS, INC.",TSN,28326,79.17
"AMERICAN WATER WORKS COMPANY, INC.",AWK,28316,156.04
WEYERHAEUSER COMPANY REIT,WY,28290,36.29
EVERSOURCE ENERGY (D/B/A),ES,28233,82.20
"EQUIFAX, INC.",EFX,27867,228.98
"VERISK ANALYTICS, INC.",VRSK,27852,171.83
"SKYWORKS SOLUTIONS, INC.",SWKS,27608,167.23
"NASDAQ, INC.",NDAQ,27578,168.06
BALL CORPORATION,BLL,27367,83.37
OCCIDENTAL PETROLEUM CORPORATION,OXY,27330,29.28
GARMIN LTD.,GRMN,27327,142.22
KANSAS CITY SOUTHERN,KSU,27174,298.83
ZEBRA TECHNOLOGIES CORPORATION,ZBRA,27079,506.04
VIACOMCBS INC.,VIAC,27024,41.58
HESS CORPORATION,HES,26987,87.50
BAKER HUGHES COMPANY,BKR,26936,25.86
"MAXIM INTEGRATED PRODUCTS, INC.",MXIM,26887,100.19
"ALEXANDRIA REAL ESTATE EQUITIES, INC. REIT",ARE,26849,183.53
HORMEL FOODS CORPORATION,HRL,26813,49.64
KEYSIGHT TECHNOLOGIES INC.,KEYS,26718,145.03
DTE ENERGY COMPANY,DTE,26668,137.66
"CONSOLIDATED EDISON, INC.",ED,26486,77.26
REALTY INCOME CORPORATION REIT,O,26374,70.19
"ARISTA NETWORKS, INC.",ANET,26245,343.87
LABORATORY CORPORATION OF AMERICA HOLDINGS,LH,25892,265.18
NORTHERN TRUST CORPORATION,NTRS,25148,120.82
INTERNATIONAL PAPER COMPANY,IP,25146,64.19
"EXPEDIA GROUP, INC.",EXPE,25095,170.75
FORTIVE CORPORATION,FTV,24899,73.55
"WEST PHARMACEUTICAL SERVICES, INC.",WST,24566,332.77
"UNITED RENTALS, INC.",URI,24328,336.12
"VERISIGN, INC.",VRSN,24326,216.00
VULCAN MATERIALS COMPANY (HOLDING COMPANY),VMC,24276,182.99
CERNER CORPORATION,CERN,24184,80.26
"W.W. GRAINGER, INC.",GWW,24151,463.46
D/B/A ROYAL CARIBBEAN CRUISES LTD.,RCL,24113,94.72
AMERISOURCEBERGEN CORPORATION,ABC,23992,116.80
"ONEOK, INC.",OKE,23934,53.72
"MCCORMICK & COMPANY, INCORPORATED",MKC,23933,89.67
DISH NETWORK CORPORATION,DISH,23673,44.89
WESTERN DIGITAL CORPORATION,WDC,23529,76.78
"HARTFORD FINANCIAL SERVICES GROUP, INC. (THE)",HIG,23439,65.62
"DOLLAR TREE, INC.",DLTR,23325,100.56
CDW CORPORATION,CDW,23173,165.28
"FLEETCOR TECHNOLOGIES, INC.",FLT,23112,277.29
REGENCY CENTERS CORPORATION REIT,REG,22877,66.81
KELLOGG COMPANY,K,22721,66.73
"VENTAS, INC. REIT",VTR,22489,56.89
